
2025/01/04 (14:16:12) | ===> btop++ v.1.4.0
2025/01/04 (14:16:12) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/04 (14:16:12) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/12 (14:03:15) | ===> btop++ v.1.4.0
2025/01/12 (14:03:15) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/12 (14:03:15) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/12 (14:04:57) | ===> btop++ v.1.4.0
2025/01/12 (14:04:57) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/12 (14:04:57) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/12 (14:05:11) | ===> btop++ v.1.4.0
2025/01/12 (14:05:11) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/12 (14:05:11) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/12 (14:05:27) | ===> btop++ v.1.4.0
2025/01/12 (14:05:27) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/12 (14:05:27) | WARNING: Intel GPU: Failed to initialize PMU
